id,tweet,label
4063561008,"You gotta be kidding me.. everyone around me is sick, I've joked about getting sick and laughed at flu shots... I'm hurting right now.. Blah",0
4063912301,Getting my flu shot then babysitting.,1
4064279613,My arm is getting sore from that damn flu shot... grrrr,1
4066630902,seems like these bird profile pics are spreadin like swine flu. hope i dont get infected next :(,1
4066949107,I think i'm in the process of getting the flu...,0
4067826605,"@mmWine matty, you have the bird flu! Depends, what cha got going on?!?",0
1909910704,Realizing how stoked I really am to go to Norway on the 18th. Really stoked.  do they still have bird flu over there?,1
4068458402,Damn everyone on twitter is catching the bird flu! Whats up with all these avatar changes!???,1
4068486611,I have the bird flu!  I don't like it!,0
4068667305,@prettiBrwnskin lol yeh just found i got da bird flu,0
4069009308,"Soo wat is dis damn bird as my pic? ""I got bird flu shawty its a terrible sickness...""",0
4069414303,@kidmac13 haha you have the bird flu too,0
4069600809,RT @Marcus32Johnson: HAHAHHA Yall Got The Bird Flu!!!!,0
2023192903,Finally getting over the flu that had me down for over a week!,0
2023366402,"getting over the flu....geez, i hope it's not the swine flu",0
4069859712,"@COLD_CASH u got the Bird Flu pic....cusin, step ur virus game up...",1
4069926002,"@lissa_Michelle try hanging your head out the window to breath fresh air LOL! Try not to worry too much, swine flu is not a death sentence.",0
4070364800,"""Babe, there are worse things to worry about, like swine flu."" @whiskeychick ""But..I dont have swine flu, ive got a crooked tv""",1
4070662607,@savor Like you said at least you got a good list...the avatar bird flu seems to be a twitter wide epidemic.,1
4074628300,my brother has swine flu he started getting sick the other day and i was with him... now i'm getting sick,0
4076421503,"RT @CorporateAntics:Work,I know you're afraid of a flu outbreak but I'm 26 years old. Enough with the signs telling me how to wash my hands!",1
4077771800,At work .... a bit under the weather .... im sooo getting a flu shot this year... Pilots love to talk... and my throat is KILLING me... =o/,0
4077869514,Not feeling so well today.  Might be getting the swine flu - piggly wiggly.  Need to wash my hands more.,0
4078195804,"I'm at home with a sick child. We were afraid it was the flu, but it turns out it was upper resp infection. Not good, but NOT flu!",1
4078511606,"Getting home, gargle and wash your hand. They are the best way to prevent flu.",1
4078868500,@AngieLedbetter Hey Cajun Gal! I see the Hot Peppers cured your bird flu this morning! Yay!,0
4080154206,"has the flu. Worst seems over. Now at home, resting. Not thinking about the bike!",0
4080498513,"Took a vacation day today, but recouperating instead. Dad thinks it's swine flu. I think it's working too hard and not getting enough rest.",0
4081040412,RT @johncpiercy: What is the difference between Bird Flu and Swine Flu?For bird flu you need tweetment and for swine flu you need oinkment,1
4082548709,Hard to tell if H1N1 is something to worry about or just another public freakout focus. Is this really any different than the flu we know?,1
4083696105,@QNeAuX aww man u got a case of the bird-flu too? Lol u ok?,0
4085138801,"@kellyOJD fiew, no mexican flu, phoe I was worried!! xD ieg, I heard a part of mi rowsu!!",1
3680445400,@no_crybaby_doGs I fink I haz bird flu. I have urge to poopz on a windshield.,0
3681897500,I think I'm getting the flu or something I feel sick everywhere.,0
3682129801,Holy fuck...I better be getting the flu. Otherwise something is very wrong. Owwwww.,0
3687121211,"Kind of glad I'm not on that trip with my school.. I think I'm getting the flu, AND it'll probably start to rain outside. Poor classmates!",0
3687507511,"Thinks he's getting sick, beghining of an horrible flu",0
3687632308,I have chills fever sore throat diarrhea & im vomitting. Do i have swine flu? Should i go to doctor? Shit im scared.,0
3687913301,Any people that work with children concerned about flu outbreaks? What are you doing to prepare?,1
3688586006,"Let me re-phrase my H1N1 flu concern: You might stay home if you got sick, but in this economy, lots of people won't.",1
3689611105,@amjones05 seriously!? Are you joking? Swine flu!? I am afraid to go to work.,1
3690357207,WHY? Why are people getting offended b/c you don't want to shake their hand. Don't they know the SWINE FLU is lurking?,1
3691758613,Man this flu is crazy...everyone is getting sick all of the sudden.  My sister is home with it and Im trying not to get it. No good :-(,0
3693053812,High risk groups should consider getting flu vaccinations. Log on to learn if you are in a high risk group http://bit.ly/1x5aLe,1
3693604400,@markknoller Concerned with Swine Flu? http://tiny.cc/8DLC1 Order Info:Distrib Name C Eden ID# 6754618,1
3695331304,Great...I'm starting to feel sick.ItsallinmyheadItsallinmyheadItsallinmyhead. Or I'm getting the flu.,0
3696469210,"It's weird watching the media ""doctors"" talk about the safety of getting the swine flu vaccine. You can tell they are being paid to lie!",1
